Frequency (Hz)	Level (dB)
5001.086426	-59.370075
5006.469727	-63.064949
5011.853027	-63.202137
5017.236328	-62.813213
5022.619629	-70.026123
5028.002930	-63.427471
5033.386230	-61.517761
5038.769531	-62.411999
5044.152832	-65.828758
5049.536133	-70.285378
5054.919434	-69.158043
5060.302734	-66.299789
5065.686035	-71.022713
5071.069336	-77.303619
5076.452637	-69.800095
5081.835938	-65.149437
5087.219238	-68.392303
5092.602539	-66.420135
5097.985840	-66.287323
5103.369141	-64.683113
5108.752441	-65.900429
5114.135742	-78.228096
5119.519043	-78.090233
5124.902344	-83.982880
5130.285645	-75.425148
5135.668945	-75.950920
5141.052246	-74.747696
5146.435547	-70.940590
5151.818848	-68.978020
5157.202148	-68.770531
5162.585449	-82.622177
5167.968750	-70.222878
5173.352051	-70.018700
5178.735352	-75.146111
5184.118652	-71.519096
5189.501953	-69.206947
5194.885254	-68.949158
5200.268555	-67.802017
5205.651855	-65.934540
5211.035156	-78.126259
5216.418457	-71.305313
5221.801758	-65.794373
5227.185059	-67.161621
5232.568359	-63.998821
5237.951660	-60.697502
5243.334961	-58.912437
5248.718262	-61.740757
5254.101562	-71.071106
5259.484863	-80.430786
5264.868164	-70.266670
5270.251465	-67.256516
5275.634766	-65.713776
5281.018066	-69.203133
5286.401367	-66.933540
5291.784668	-61.050991
5297.167969	-62.267017
5302.551270	-75.654457
5307.934570	-75.342834
5313.317871	-77.370872
5318.701172	-72.054718
5324.084473	-71.569901
5329.467773	-75.652763
5334.851074	-79.095573
5340.234375	-79.548645
5345.617676	-76.597580
5351.000977	-70.374207
5356.384277	-75.628059
5361.767578	-76.780060
5367.150879	-66.365021
5372.534180	-61.639969
5377.917480	-62.456337
5383.300781	-62.937153
5388.684082	-64.696182
5394.067383	-65.069359
5399.450684	-71.674515
5404.833984	-67.829147
5410.217285	-68.167603
5415.600586	-77.899841
5420.983887	-65.100746
5426.367188	-63.551991
5431.750488	-64.386139
5437.133789	-62.588936
5442.517090	-63.760853
5447.900391	-69.444588
5453.283691	-61.008167
5458.666992	-60.347931
5464.050293	-64.553947
5469.433594	-66.396751
5474.816895	-74.879555
5480.200195	-70.111389
5485.583496	-59.792412
5490.966797	-59.795303
5496.350098	-63.247807
5501.733398	-64.955269
5507.116699	-64.322418
5512.500000	-61.942577
5517.883301	-62.982937
5523.266602	-66.051674
5528.649902	-67.488029
5534.033203	-62.940605
5539.416504	-61.151825
5544.799805	-61.635597
5550.183105	-63.840023
5555.566406	-67.208565
5560.949707	-62.084583
5566.333008	-56.337513
5571.716309	-71.703720
5577.099609	-85.935310
5582.482910	-75.791199
5587.866211	-60.736526
5593.249512	-65.205475
5598.632812	-64.632179
5604.016113	-61.513622
5609.399414	-65.552444
5614.782715	-71.912399
5620.166016	-72.433983
5625.549316	-69.413696
5630.932617	-68.532669
5636.315918	-68.314537
5641.699219	-78.707954
5647.082520	-81.207977
5652.465820	-66.648903
5657.849121	-69.814171
5663.232422	-66.274055
5668.615723	-64.055061
5673.999023	-70.732544
5679.382324	-69.485001
5684.765625	-65.353020
5690.148926	-65.230530
5695.532227	-75.918663
5700.915527	-74.219643
5706.298828	-70.877930
5711.682129	-67.552628
5717.065430	-77.072464
5722.448730	-71.437157
5727.832031	-67.761917
5733.215332	-61.732708
5738.598633	-66.740471
5743.981934	-70.404381
5749.365234	-64.205940
5754.748535	-65.905762
5760.131836	-63.966152
5765.515137	-64.611847
5770.898438	-76.616661
5776.281738	-58.012608
5781.665039	-57.905132
5787.048340	-60.750595
5792.431641	-61.185120
5797.814941	-63.030968
5803.198242	-66.335770
5808.581543	-59.501942
5813.964844	-59.513634
5819.348145	-69.996002
5824.731445	-63.359020
5830.114746	-66.719360
5835.498047	-66.655792
5840.881348	-67.258797
5846.264648	-64.462921
5851.647949	-64.179451
5857.031250	-65.702049
5862.414551	-64.721458
5867.797852	-66.140320
5873.181152	-66.870392
5878.564453	-63.857243
5883.947754	-63.453331
5889.331055	-69.227570
5894.714355	-64.791382
5900.097656	-61.757717
5905.480957	-65.187386
5910.864258	-80.402634
5916.247559	-65.417061
5921.630859	-61.308018
5927.014160	-65.310310
5932.397461	-66.239464
5937.780762	-60.275597
