Frequency (Hz)	Level (dB)
5065.686035	-51.890274
5071.069336	-51.328564
5076.452637	-55.538544
5081.835938	-52.263615
5087.219238	-49.173439
5092.602539	-44.722515
5097.985840	-46.946613
5103.369141	-46.886311
5108.752441	-44.754261
5114.135742	-42.884663
5119.519043	-41.490543
5124.902344	-48.102123
5130.285645	-51.920979
5135.668945	-53.929432
5141.052246	-51.346550
5146.435547	-44.699028
5151.818848	-46.336151
5157.202148	-47.000721
5162.585449	-38.523365
5167.968750	-35.804688
5173.352051	-37.410439
5178.735352	-40.920795
5184.118652	-41.032055
5189.501953	-45.429195
5194.885254	-48.057663
5200.268555	-48.873146
5205.651855	-54.840050
5211.035156	-51.391247
5216.418457	-55.286217
5221.801758	-51.958214
5227.185059	-47.695122
5232.568359	-50.034237
5237.951660	-47.475208
5243.334961	-48.874146
5248.718262	-55.867905
5254.101562	-52.649151
5259.484863	-55.365826
5264.868164	-53.352619
5270.251465	-48.009716
5275.634766	-50.604412
5281.018066	-50.245304
5286.401367	-53.012291
5291.784668	-55.573818
5297.167969	-52.341251
5302.551270	-53.288521
5307.934570	-53.496765
5313.317871	-54.799492
5318.701172	-52.293663
5324.084473	-55.451248
5329.467773	-59.859863
5334.851074	-62.699131
5340.234375	-57.164486
5345.617676	-56.828907
5351.000977	-60.268223
5356.384277	-67.138351
5361.767578	-65.868256
5367.150879	-54.539986
5372.534180	-45.950073
5377.917480	-44.911560
5383.300781	-50.718128
5388.684082	-43.198723
5394.067383	-39.433914
5399.450684	-43.537281
5404.833984	-45.664516
5410.217285	-42.382034
5415.600586	-46.139946
5420.983887	-51.280067
5426.367188	-53.282639
5431.750488	-52.794437
5437.133789	-49.974895
5442.517090	-44.170746
5447.900391	-49.557018
5453.283691	-63.363853
5458.666992	-56.590836
5464.050293	-50.938950
5469.433594	-52.957512
5474.816895	-54.351746
5480.200195	-52.198666
5485.583496	-52.254093
5490.966797	-61.212589
5496.350098	-51.798046
5501.733398	-59.071976
5507.116699	-49.947613
5512.500000	-53.469921
5517.883301	-57.437450
5523.266602	-55.060516
5528.649902	-58.157951
5534.033203	-54.499706
5539.416504	-55.089001
5544.799805	-51.562271
5550.183105	-55.497444
5555.566406	-50.556484
5560.949707	-50.353073
5566.333008	-39.643646
5571.716309	-44.919647
5577.099609	-39.181847
5582.482910	-36.921604
5587.866211	-30.095095
5593.249512	-32.084641
5598.632812	-38.945286
5604.016113	-34.573540
5609.399414	-41.133129
5614.782715	-44.051910
5620.166016	-46.174580
5625.549316	-43.162426
5630.932617	-45.714581
5636.315918	-57.773045
