Frequency (Hz)	Level (dB)
5996.997070	-42.424149
6007.763672	-39.339905
6018.530273	-42.908749
6029.296875	-49.663738
6040.063477	-45.193943
6050.830078	-41.337746
6061.596680	-38.755276
6072.363281	-38.611469
6083.129883	-43.181889
6093.896484	-44.764992
6104.663086	-39.943787
6115.429688	-34.921726
6126.196289	-37.519039
6136.962891	-45.564068
6147.729492	-42.852009
6158.496094	-40.511765
6169.262695	-39.489735
6180.029297	-36.423508
6190.795898	-36.127747
6201.562500	-40.038246
6212.329102	-39.809284
6223.095703	-39.348454
6233.862305	-37.809181
6244.628906	-40.946033
6255.395508	-46.828590
6266.162109	-38.964005
6276.928711	-39.680481
6287.695312	-41.580379
6298.461914	-42.067791
6309.228516	-44.862495
6319.995117	-47.065754
6330.761719	-39.667751
6341.528320	-36.610584
6352.294922	-38.861088
6363.061523	-40.511177
6373.828125	-37.279385
6384.594727	-36.024639
6395.361328	-40.583950
6406.127930	-41.249832
6416.894531	-41.233036
6427.661133	-40.661861
6438.427734	-40.440571
6449.194336	-38.197826
6459.960938	-37.462765
6470.727539	-43.108608
6481.494141	-46.057758
6492.260742	-41.286663
6503.027344	-52.273865
6513.793945	-47.837643
6524.560547	-45.274841
6535.327148	-41.411823
6546.093750	-39.662731
6556.860352	-45.641502
6567.626953	-48.477654
6578.393555	-38.710857
6589.160156	-35.831795
6599.926758	-37.049465
6610.693359	-39.617489
6621.459961	-39.098454
6632.226562	-40.276569
6642.993164	-46.399261
6653.759766	-51.675293
6664.526367	-44.241329
6675.292969	-45.000439
6686.059570	-39.021023
6696.826172	-38.102257
6707.592773	-38.915661
6718.359375	-43.002293
6729.125977	-54.973618
6739.892578	-54.020500
6750.659180	-42.796490
6761.425781	-38.729290
6772.192383	-42.449490
6782.958984	-43.265480
6793.725586	-35.392086
6804.492188	-31.363686
6815.258789	-31.763521
6826.025391	-35.021641
6836.791992	-39.929031
6847.558594	-43.468212
6858.325195	-43.861507
6869.091797	-41.813080
